Input,C->T at 5' end,C->T 95% CI lower,C->T 95% CI upper,G->A at 3' end,G->A 95% CI lower,G->A 95% CI upper
All_B100_021,0,0,0.205907214,0.066666667,0.013136117,0.419265852
All_B100_028,0,0,0.264648469,0,0,0.308497108
All_B100_034,0,0,0.168433471,0,0,0.119444869
All_B100_060,0.034482759,0.008178134,0.172169456,0,0,0.205907214
All_B100_117,0.023696682,0.01045565,0.054178136,0.029761905,0.014769931,0.059954798
All_B100_146,0,0,0.088097303,0,0,0.0787051
All_B100_164,0.072727273,0.029629842,0.172904698,0.081632653,0.030996089,0.20589495
All_B100_180,0.060913706,0.041373878,0.089058961,0.06940874,0.047277972,0.101057865
All_B100_252,0,0,0.195064323,0.083333333,0.022531952,0.296882242
All_B100_266,0.1,0.030488968,0.303774407,0.045454545,0.011188793,0.204241431
All_B100_300,0.023255814,0.00716842,0.080585866,0.01754386,0.00438314,0.085021138
All_B100_333,0,0,0.195064323,0,0,0.10576281
All_B100_353,0,0,0.154372513,0.047619048,0.012759991,0.187863779
All_B100_365,0.054054054,0.016586476,0.17749059,0.0625,0.02168362,0.176829068
All_B101_074,0.023255814,0.005552952,0.120241582,0,0,0.075485734
All_B101_075,0,0,0.459258126,0.142857143,0.043312005,0.404602697
All_B101_089,0.030927835,0.011231318,0.086863009,0.014084507,0.003920012,0.057550941
All_B101_097,0.086956522,0.026559315,0.269972802,0.0625,0.013953447,0.307964753
All_B101_150,0.333333333,0.067585986,0.80587955,0,0,0.459258126
All_B101_156,0,0,0.195064323,0.058823529,0.012660732,0.315621093
All_B101_167,0,0,0.231635762,0.05,0.011359625,0.252643594
All_B101_184,0.105263158,0.032070937,0.316982714,0.047619048,0.009727629,0.315085233
All_B101_210,0.051282051,0.020867946,0.124594798,0.047619048,0.015324514,0.149720986
All_B101_226,0.191489362,0.104690683,0.326293024,0.046511628,0.012512941,0.183050037
All_B101_242,0,0,0.409616397,0,0,0.308497108
All_B101_250,0.052631579,0.0161533,0.173244781,0.09375,0.030641333,0.26899441
All_B101_258,0.12,0.043563477,0.3015404,0.12,0.046997317,0.282269085
All_B101_278,0.066666667,0.015513604,0.302320738,0.0625,0.016709907,0.237727139
All_B113_060,0,0,0.231635762,0,0,0.308497108
All_B113_076,0,0,0.707598226,0,0,0.459258126
All_B116_120,0.210526316,0.086571469,0.436614003,0.076923077,0.02570365,0.221561495
All_B116_150,0.074650078,0.056816817,0.097609194,0.085227273,0.064244973,0.112371692
All_B116_180,0.022988506,0.007086308,0.079697309,0.050632911,0.019543347,0.130018299
All_B116_196,0.015625,0.003748262,0.082763088,0.064516129,0.026107401,0.155632498
All_Boi1_097,0,0,0.52182375,0,0,0.707598226
All_Boi1_106,0.044444444,0.020941477,0.093551238,0.027027027,0.010385336,0.071582611
All_Boi1_119,0,0,0.707598226,0,0,0.707598226
All_Boi1_136,0,0,0.459258126,0,0,0.369416648
All_Boi1_145,0.25,0.052744951,0.716417936,0.142857143,0.031854026,0.526509671
All_Boi1_150,0,0,0.841886117,0,0,0.409616397
All_Boi1_157,0,0,0.707598226,0.166666667,0.039268484,0.548954179
All_Boi1_167,0.05,0.011749318,0.23815991,0,0,0.231635762
All_Boi1_187,0.125,0.028144973,0.482496515,0,0,0.409616397
All_Boi1_194,0.076923077,0.023527454,0.242898347,0.130434783,0.054233783,0.288557887