Input,,,,,,
All_B100_021,C->T at 5' end,C->T 95% CI lower,C->T 95% CI upper,G->A at 3' end,G->A 95% CI lower,G->A 95% CI upper
All_B100_028,0.040540541,0.023508973,0.069513595,0.074675325,0.051093332,0.108166439
All_B100_034,0.034782609,0.017967674,0.067095964,0.089494163,0.061464629,0.128852191
All_B100_060,0.039447732,0.025768325,0.060150837,0.062977099,0.047308832,0.083484481
All_B100_117,0.049839228,0.035394929,0.069888537,0.050324675,0.035045542,0.071931135
All_B100_146,0.059057731,0.048260935,0.072128266,0.082269504,0.069891639,0.096645529
All_B100_164,0.034234234,0.022108031,0.052851889,0.06360424,0.047090505,0.085509763
All_B100_180,0.091775924,0.074091237,0.113235734,0.09252218,0.073339166,0.116180086
All_B100_252,0.082490034,0.07606034,0.08941807,0.086520076,0.079557866,0.094037606
All_B100_266,0.042801556,0.024260978,0.075005038,0.138613861,0.106511176,0.178620783
All_B100_300,0.059171598,0.032740703,0.105516286,0.089473684,0.058298634,0.135367668
All_B100_333,0.060824742,0.047481414,0.07768206,0.073085847,0.056879296,0.093537244
All_B100_353,0.037914692,0.01959311,0.072998051,0.056074766,0.03463603,0.089975333
All_B100_365,0.026578073,0.013715778,0.05152678,0.03630363,0.021504584,0.061030743
All_B101_074,0.048387097,0.02968877,0.07830367,0.052287582,0.034851819,0.077976746
All_B101_075,0.068273092,0.04933831,0.093914864,0.095982143,0.074318903,0.123232558
All_B101_089,0.068681319,0.055172203,0.085257376,0.067860509,0.054789566,0.083827094
All_B101_097,0.113960114,0.084895773,0.151514351,0.142011834,0.108033667,0.184646571
All_B101_150,0.094117647,0.048982337,0.175089214,0.132075472,0.081182363,0.208527884
All_B101_156,0.060869565,0.030242799,0.12038487,0.086419753,0.043577772,0.166184106
All_B101_167,0.09375,0.057877917,0.149008249,0.077922078,0.042504244,0.139790664
All_B101_184,0.045901639,0.027692032,0.075572689,0.100543478,0.075378809,0.13305993
All_B101_210,0.134146341,0.090460708,0.194883533,0.140127389,0.092679308,0.206892451
All_B101_226,0.106060606,0.086518899,0.129460893,0.140770252,0.115693267,0.17031605
All_B101_242,0.090686275,0.066588463,0.122536442,0.095238095,0.069814169,0.128824761
All_B101_250,0.054545455,0.03168944,0.092927263,0.096385542,0.066763262,0.137514145
All_B101_258,0.123867069,0.092716504,0.163785375,0.13583815,0.102490051,0.178074597
All_B101_278,0.144736842,0.109696984,0.188787112,0.113138686,0.080870068,0.156357918
All_B113_060,0.092050209,0.061724095,0.135493876,0.151162791,0.112222919,0.200795944
All_B113_076,0.055837563,0.031704948,0.097228419,0.051428571,0.027896393,0.093795347
All_B116_120,0.025751073,0.012110083,0.05497141,0.06504065,0.040253182,0.1039219
All_B116_150,0.109929078,0.078640915,0.151871177,0.070110701,0.045595821,0.106698489
All_B116_180,0.105656531,0.098063534,0.113770971,0.111235536,0.102751667,0.120335069
All_B116_196,0.087986464,0.078309141,0.098748557,0.092694693,0.082082591,0.104542026
All_Boi1_097,0.072115385,0.051066953,0.10111144,0.095354523,0.069050665,0.130481284
All_Boi1_106,0.035714286,0.015774009,0.080812335,0.07079646,0.037413982,0.131285595
All_Boi1_119,0.089730808,0.073602127,0.109035124,0.081695967,0.065650195,0.101305246
All_Boi1_136,0.070512821,0.040116727,0.121903974,0.080536913,0.045737237,0.138964298
All_Boi1_145,0.105820106,0.069732991,0.157882788,0.176470588,0.126372246,0.241300416
All_Boi1_150,0.033980583,0.016830397,0.06843079,0.101010101,0.067321891,0.149274852
All_Boi1_157,0.053846154,0.032519486,0.088361604,0.106870229,0.073985389,0.152295136
All_Boi1_167,0.086021505,0.044722075,0.1608221,0.145454545,0.091042294,0.225178989
All_Boi1_187,0.158931083,0.13392763,0.187654708,0.123493976,0.098667439,0.153602998
All_Boi1_194,0.109034268,0.079543589,0.147918542,0.117318436,0.088125041,0.154719486